Madeira;Res. Solo;Fb;Fv;E;Densid.;Leff_Final_m;Leff_Flexao_m;Leff_Cisalhamento_m;Leff_Deformacao_m;Comprimento_Ativo_%;Capacidade_Solo_Utilizada_%;Pressao_Area_Total_kgf/cm2;Pressao_Dispersao_45_kgf/cm2
;kgf/cm²;Mpa;Mpa;Gpa;kg/m³;;;;;;;;
;;;;;;;;;;;;;
Eucalyptus (Classe 3);2.4;30;4;11.0;500;4.43;4.52;8.02;4.43;105.1;40.2;1.02;7.05
Eucalyptus (Classe 3);2.6;30;4;11.0;500;4.33;4.37;7.49;4.33;102.7;38.0;1.02;7.05
Eucalyptus (Classe 3);2.8;30;4;11.0;500;4.23;4.23;7.04;4.24;100.3;36.1;1.02;7.05
Eucalyptus (Classe 3);3.0;30;4;11.0;500;4.11;4.11;6.65;4.15;97.5;34.7;1.02;7.05
Eucalyptus (Classe 3);3.2;30;4;11.0;500;3.99;3.99;6.31;4.08;94.6;33.5;1.02;7.05
Eucalyptus (Classe 3);3.4;30;4;11.0;500;3.89;3.89;6.01;4.01;92.3;32.4;1.02;7.05
Eucalyptus (Classe 3);3.6;30;4;11.0;500;3.80;3.80;5.74;3.94;90.1;31.3;1.02;7.05
Eucalyptus (Classe 3);3.8;30;4;11.0;500;3.71;3.71;5.51;3.88;88.0;30.4;1.02;7.05
Eucalyptus (Classe 3);4.0;30;4;11.0;500;3.64;3.64;5.29;3.83;86.3;29.4;1.02;7.05
Eucalyptus (Classe 3);4.2;30;4;11.0;500;3.56;3.56;5.09;3.78;84.4;28.6;1.02;7.05
Eucalyptus (Classe 3);4.4;30;4;11.0;500;3.49;3.49;4.92;3.73;82.8;27.9;1.02;7.05
Eucalyptus (Classe 3);4.6;30;4;11.0;500;3.43;3.43;4.76;3.68;81.4;27.1;1.02;7.05
Eucalyptus (Classe 3);4.8;30;4;11.0;500;3.37;3.37;4.61;3.64;79.9;26.5;1.02;7.05
Eucalyptus (Classe 3);5.0;30;4;11.0;500;3.31;3.31;4.47;3.60;78.5;25.9;1.02;7.05
